text,category
i can't log in to my account,Technical
please help with billing issue,Billing
delivery is late,Complaint
how to return the product?,General
thanks for the quick support,Other
need help with refund,Billing
my order has not arrived,Complaint
unable to access the app,Technical
where is my invoice?,Billing
what is the return policy?,General
app keeps crashing on startup,Technical
i was charged twice for my order,Billing
received wrong item,Complaint
do you ship internationally?,General
thank you for resolving my issue,Other
internet speed is too slow,Technical
i want to update my card details,Billing
my order got cancelled automatically,Complaint
where can i track my order?,General
app is showing black screen,Technical
appreciate the prompt response,Other
i want to change my subscription plan,Billing
package was delivered to wrong address,Complaint
can i speak to a customer executive?,General
"great service, very helpful",Other
how do i reset my password?,Technical
i need a refund for my last purchase,Billing
product arrived damaged,Complaint
how do i contact support?,General
app is not working on my phone,Technical
billing statement is incorrect,Billing
order was not processed correctly,Complaint
can i get a discount on my next purchase?,General
thank you for your assistance,Other
how do i change my account settings?,Technical
i was charged for a service i didn't use,Billing
received a defective product,Complaint
how do i cancel my subscription?,General
app is running very slow,Technical
i need to update my shipping address,Billing
my package is missing,Complaint
can you help me with my account?,General
excellent customer service,Other
how do i report a bug in the app?,Technical
i want to dispute a charge,Billing
received the wrong size,Complaint
how do i provide feedback?,General
thank you for the great support,Other
app is not compatible with my device,Technical
